VDS,VGS,ID
V,V,A
1.0000E+0, 2.4158E+0, 109.4233E-6
1.0000E+0, 2.3366E+0, 106.3137E-6
1.0000E+0, 2.2574E+0, 104.1608E-6
1.0000E+0, 2.1782E+0, 101.6326E-6
1.0000E+0, 2.0990E+0, 98.2441E-6
1.0000E+0, 2.0198E+0, 94.6710E-6
1.0000E+0, 1.9406E+0, 92.4620E-6
1.0000E+0, 1.8614E+0, 89.8878E-6
1.0000E+0, 1.7822E+0, 86.7346E-6
1.0000E+0, 1.7030E+0, 83.1100E-6
1.0000E+0, 1.6238E+0, 79.5962E-6
1.0000E+0, 1.5446E+0, 76.0264E-6
1.0000E+0, 1.4653E+0, 72.5463E-6
1.0000E+0, 1.3861E+0, 69.1449E-6
1.0000E+0, 1.3069E+0, 65.2406E-6
1.0000E+0, 1.2277E+0, 61.0248E-6
1.0000E+0, 1.1485E+0, 56.8484E-6
1.0000E+0, 1.0693E+0, 53.5460E-6
1.0000E+0, 990.0990E-3, 49.0956E-6
1.0000E+0, 910.8911E-3, 44.7411E-6
1.0000E+0, 831.6832E-3, 40.3518E-6
1.0000E+0, 752.4752E-3, 36.0675E-6
1.0000E+0, 673.2673E-3, 32.5424E-6
1.0000E+0, 594.0594E-3, 28.4070E-6
1.0000E+0, 514.8515E-3, 24.8178E-6
1.0000E+0, 435.6436E-3, 21.0348E-6
1.0000E+0, 356.4356E-3, 17.4332E-6
1.0000E+0, 277.2277E-3, 14.0524E-6
1.0000E+0, 198.0198E-3, 11.1687E-6
1.0000E+0, 118.8119E-3, 8.7499E-6
1.0000E+0, 39.6040E-3, 6.5506E-6
1.0000E+0, -39.6040E-3, 4.7876E-6
1.0000E+0, -118.8119E-3, 3.4295E-6
1.0000E+0, -198.0198E-3, 2.2875E-6
1.0000E+0, -277.2277E-3, 1.5346E-6
1.0000E+0, -356.4356E-3, 957.6829E-9
1.0000E+0, -435.6436E-3, 605.8828E-9
1.0000E+0, -514.8515E-3, 418.8748E-9
1.0000E+0, -594.0594E-3, 248.1649E-9
1.0000E+0, -673.2673E-3, 149.0102E-9
1.0000E+0, -752.4752E-3, 78.7330E-9
1.0000E+0, -831.6832E-3, 40.4203E-9
1.0000E+0, -910.8911E-3, 15.6731E-9
1.0000E+0, -990.0990E-3, 11.9534E-9
1.0000E+0, -1.0693E+0, 7.4656E-9
1.0000E+0, -1.1485E+0, 4.8225E-9
1.0000E+0, -1.2277E+0, 4.2984E-9
1.0000E+0, -1.3069E+0, 3.8160E-9
1.0000E+0, -1.3861E+0, 4.6838E-9
1.0000E+0, -1.4653E+0, 5.5398E-9
1.0000E+0, -1.5446E+0, 7.6141E-9
1.0000E+0, -1.6238E+0, 10.1396E-9
1.0000E+0, -1.7030E+0, 14.1404E-9
1.0000E+0, -1.7822E+0, 18.3818E-9
1.0000E+0, -1.8614E+0, 23.2781E-9
1.0000E+0, -1.9406E+0, 28.7890E-9
1.0000E+0, -2.0198E+0, 37.5920E-9
1.0000E+0, -2.0990E+0, 24.5524E-9
1.0000E+0, -2.1782E+0, 28.1442E-9
1.0000E+0, -2.2574E+0, 29.4220E-9
1.0000E+0, -2.3366E+0, 48.0661E-9
1.0000E+0, -2.4158E+0, 81.9311E-9
1.0000E+0, -2.4950E+0, 93.2944E-9
1.0000E+0, -2.5743E+0, 109.9540E-9
1.0000E+0, -2.6535E+0, 129.5524E-9
1.0000E+0, -2.7327E+0, 134.6958E-9
1.0000E+0, -2.8119E+0, 148.0486E-9
1.0000E+0, -2.8911E+0, 155.0937E-9
1.0000E+0, -2.9703E+0, 181.6937E-9
1.0000E+0, -3.0495E+0, 176.3295E-9
1.0000E+0, -3.1287E+0, 191.0979E-9
1.0000E+0, -3.2079E+0, 204.3200E-9
1.0000E+0, -3.2871E+0, 209.2331E-9
1.0000E+0, -3.3663E+0, 226.0675E-9
1.0000E+0, -3.4455E+0, 249.3972E-9
1.0000E+0, -3.5248E+0, 263.7832E-9
1.0000E+0, -3.6040E+0, 269.3983E-9
1.0000E+0, -3.6832E+0, 288.6651E-9
1.0000E+0, -3.7624E+0, 308.1494E-9
1.0000E+0, -3.8416E+0, 297.9856E-9
1.0000E+0, -3.9208E+0, 141.0760E-9
1.0000E+0, -4.0000E+0, 346.8431E-9
