VDS,VGS,ID
V,V,A
-40, -44.990,2.576E-05
-40, -44.092,2.444E-05
-40, -43.288,2.314E-05
-40, -42.440,2.180E-05
-40, -41.210,2.078E-05
-40, -40.310,1.918E-05
-40, -39.348,1.837E-05
-40, -38.565,1.664E-05
-40, -37.619,1.576E-05
-40, -36.604,1.444E-05
-40, -35.670,1.359E-05
-40, -34.891,1.276E-05
-40, -33.918,1.149E-05
-40, -32.944,1.063E-05
-40, -32.172,9.991E-06
-40, -31.133,8.814E-06
-40, -29.983,7.961E-06
-40, -29.162,7.156E-06
-40, -27.892,6.331E-06
-40, -26.953,5.492E-06
-40, -25.977,4.860E-06
-40, -25.032,4.258E-06
-40, -24.090,3.653E-06
-40, -22.946,3.021E-06
-40, -22.017,2.517E-06
-40, -21.060,2.072E-06
-40, -20.300,1.744E-06
-40, -19.399,1.478E-06
-40, -18.499,1.184E-06
-40, -17.513,9.225E-07
-40, -16.878,7.253E-07
-40, -16.307,6.084E-07
-40, -15.751,4.801E-07
-40, -15.136,3.979E-07
-40, -14.836,3.332E-07
-40, -14.434,2.622E-07
-40, -13.907,2.025E-07
-40, -13.329,1.454E-07
-40, -12.989,1.095E-07
-40, -12.591,8.019E-08
-40, -12.293,6.933E-08
-40, -11.968,5.049E-08
-40, -11.421,3.590E-08
-40, -10.950,2.685E-08
-40, -10.779,2.139E-08
-40, -10.487,1.702E-08
-40, -10.167,1.265E-08
-40, -9.721,9.930E-09
-40, -9.282,7.797E-09
-40, -8.794,5.881E-09
-40, -8.350,4.673E-09
-40, -7.420,3.457E-09
-40, -6.115,3.328E-09
-40, -4.708,3.320E-09
-40, -3.440,3.348E-09
-40, -2.191,3.349E-09
-40, -0.738,3.349E-09
