org,model_id,primary,backend,n_curves,n_points,mse_ln,mae_ln,rmse_ln,r2_ln,mse_abs,mae_abs,rmse_abs,r2_abs
Org1,org1_exp1,True,sklearn,25,37500,0.025791570448055003,0.11126096973613596,0.1368969592910032,0.9614003896750257,1.2141330443677858,0.5114651057703183,0.5609638737098805,0.9256650030654309
Org2,org2_exp1,True,sklearn,25,37500,0.11314304357978472,0.14408946097418454,0.2969130838004683,0.6984017037226115,6.007990199498411,1.4737116564453092,1.9470106286491429,0.8578765664937131
Org3,org3_exp1,True,sklearn,20,30000,0.19401016387670594,0.21994411764728192,0.4125580116877213,0.5973458969524796,4785.527809728637,51.38517256204759,60.85712899073271,0.7530967833219692
Org4,org4_exp1,True,sklearn,25,37500,2.578781873257721,0.3015426748124305,1.0341170376098647,0.42847898208929325,1168.4423276881428,14.663027640430153,24.005484031560787,0.7898897054923798
