org,model_id,primary,backend,curve_type,fixed_voltage,npz_path,n_points,mse_ln,mae_ln,rmse_ln,r2_ln,mse_abs,mae_abs,rmse_abs,r2_abs
Org1,org1_exp1,True,sklearn,transfer,-56.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org1/Org1/tipo_p/transfer/transfer-neg56V_synth_002.npz,1500,0.05706620074449752,0.18070653439106574,0.2388853296971112,0.996720647670533,0.04345113857427486,0.11288542979688634,0.20844936693181598,0.9918943644716531
Org1,org1_exp1,True,sklearn,transfer,-58.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org1/Org1/tipo_p/transfer/transfer-neg58V_synth_003.npz,1500,0.04652605125861004,0.16261249490158125,0.2156989829800086,0.9973280904093274,0.03990436757935333,0.10738682483066228,0.1997607758779319,0.9925257714099361
Org1,org1_exp1,True,sklearn,transfer,-60.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org1/Org1/tipo_p/transfer/transfer-neg60V_synth_004.npz,1500,0.03210049005356689,0.13577351288730588,0.17916609627261204,0.9981577034286101,0.035269281887247116,0.10026624969810809,0.18780117647993347,0.9933658436453755
Org1,org1_exp1,True,sklearn,output,-52.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org1/Org1/tipo_p/output/output-neg52V_synth_000.npz,1500,0.013162732249268666,0.08821313324293245,0.11472895122534968,0.967212544937273,0.5201522390165729,0.6607924954240599,0.7212158061333466,0.9366335520953474
Org1,org1_exp1,True,sklearn,output,-54.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org1/Org1/tipo_p/output/output-neg54V_synth_001.npz,1500,0.018875200232722038,0.1195702037157336,0.1373870453598957,0.9539667566234925,1.1999944333607129,1.0360154148852967,1.0954425741957965,0.89660429480682
Org1,org1_exp1,True,sklearn,output,-56.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org1/Org1/tipo_p/output/output-neg56V_synth_002.npz,1500,0.03397546753737494,0.16983218215392523,0.18432435416237036,0.9187652871187038,2.9963368338032543,1.6619739545706504,1.7309930195709209,0.8143271598052523
Org1,org1_exp1,True,sklearn,output,-58.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org1/Org1/tipo_p/output/output-neg58V_synth_003.npz,1500,0.06850103870364034,0.2435636736032312,0.26172703089982957,0.8392386201726022,7.409534204373432,2.630046344340894,2.722045959269136,0.6647210350014845
Org1,org1_exp1,True,sklearn,output,-60.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org1/Org1/tipo_p/output/output-neg60V_synth_004.npz,1500,0.14048803855377,0.3456295038863975,0.3748173402522488,0.6760430852872755,17.266055083355358,4.025977553960453,4.15524428684468,0.4214410188434209
Org2,org2_exp1,True,sklearn,output,-22.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg22V_synth_000.npz,1500,0.19840128080177033,0.16521971589543957,0.44542258676651136,0.23703101597570908,0.13578909360813318,0.22602121797442332,0.36849571721816954,0.5372051964342341
Org2,org2_exp1,True,sklearn,output,-24.0,/home/rsb6/Desktop/TCC/TCC implementation/Model_OTFT/synthetic_inference_runs/Org2/Org2/tipo_p/output/output-neg24V_synth_001.npz,1500,0.20418136964058176,0.170896462318236,0.4518643265855159,0.28161277706552545,0.2722908234451071,0.33406488157736064,0.5218149321791271,0.6035904127070392
